Hz Re(h) Im(h) h white
25.75 -3.559225953937708e-23 2.8827030902292235e-23 (-3.559225953937708e-23+2.8827030902292235e-23j) (-1.097547352663396+0.8889301174305408j)
26.0 -3.370391990186684e-23 1.340368392861024e-23 (-3.370391990186684e-23+1.340368392861024e-23j) (-1.071772535626586+0.42623233002960614j)
26.25 1.0058023435125107e-23 -1.3965702321156203e-23 (1.0058023435125107e-23-1.3965702321156203e-23j) (0.32966596285348265-0.45774567262894933j)
26.5 -1.65569999834877e-23 -3.7420029031537996e-23 (-1.65569999834877e-23-3.7420029031537996e-23j) (-0.5590677227694141-1.2635338791744375j)
26.75 -3.1457000560954463e-24 1.6846795710923386e-23 (-3.1457000560954463e-24+1.6846795710923386e-23j) (-0.10937414199133284+0.5857531847688671j)
27.0 1.584632003898845e-23 -3.410488005633719e-23 (1.584632003898845e-23-3.410488005633719e-23j) (0.5670715513381287-1.220466783086788j)
27.25 5.514883662259065e-23 1.9735127859821466e-23 (5.514883662259065e-23+1.9735127859821466e-23j) (2.030294563117859+0.7265452047599167j)
27.5 3.109850334174049e-23 -1.3713924556958254e-23 (3.109850334174049e-23-1.3713924556958254e-23j) (1.177281779761871-0.5191617529794682j)
27.75 -3.640075330482856e-23 1.0477495809768976e-23 (-3.640075330482856e-23+1.0477495809768976e-23j) (-1.4163755435828551+0.4076857612993433j)
28.0 -3.2292205518372735e-24 4.517672037020746e-23 (-3.2292205518372735e-24+4.517672037020746e-23j) (-0.12909390990360928+1.806020795295j)
28.25 7.762422246565731e-24 -7.789957905023596e-24 (7.762422246565731e-24-7.789957905023596e-24j) (0.3186802863328092-0.3198107416524225j)
28.5 1.662068331586793e-23 -2.7581816309541666e-23 (1.662068331586793e-23-2.7581816309541666e-23j) (0.7004475697842113-1.162383990904174j)
28.75 -6.116716286817502e-24 -9.209334346156e-24 (-6.116716286817502e-24-9.209334346156e-24j) (-0.26450720309055686-0.3982423176104071j)
29.0 -2.5416205137672882e-23 -4.720607339512054e-24 (-2.5416205137672882e-23-4.720607339512054e-24j) (-1.127327609593773-0.2093810212443933j)
29.25 1.0590016632557356e-23 -2.4070920044910643e-23 (1.0590016632557356e-23-2.4070920044910643e-23j) (0.4816004309977364-1.0946692408868823j)
29.5 -1.4112085066924943e-24 -6.111462956121426e-24 (-1.4112085066924943e-24-6.111462956121426e-24j) (-0.0657740610281246-0.28484503568447156j)
29.75 -6.82602967727402e-24 2.2762093137935402e-23 (-6.82602967727402e-24+2.2762093137935402e-23j) (-0.32594492530745606+1.0868966439431849j)
30.0 3.135417428444626e-23 2.324624264476072e-23 (3.135417428444626e-23+2.324624264476072e-23j) (1.5332946567909669+1.1367972670662665j)
30.25 1.9914680655628904e-23 7.00847714366653e-24 (1.9914680655628904e-23+7.00847714366653e-24j) (0.9969837899460873+0.3508636781714201j)
30.5 4.700468933174513e-24 -3.472977839311217e-24 (4.700468933174513e-24-3.472977839311217e-24j) (0.2408193564037138-0.1779312447242243j)
30.75 2.8571149399402206e-23 1.674308902093898e-23 (2.8571149399402206e-23+1.674308902093898e-23j) (1.497453182516476+0.8775282922319648j)
31.0 -2.6426006623163082e-23 -7.088565247105454e-24 (-2.6426006623163082e-23-7.088565247105454e-24j) (-1.416394220737836-0.37993643884591843j)
31.25 3.4620367236734983e-23 4.5903453887481635e-24 (3.4620367236734983e-23+4.5903453887481635e-24j) (1.8969638139627443+0.2515201250322505j)
31.5 1.4050460488842606e-23 1.4987122394007254e-24 (1.4050460488842606e-23+1.4987122394007254e-24j) (0.786772478694089+0.08392219916057773j)
31.75 -4.4910723461303905e-24 8.698996135774943e-24 (-4.4910723461303905e-24+8.698996135774943e-24j) (-0.2569154668275498+0.49763318889291935j)
32.0 1.4289426106135544e-23 3.1502766838489004e-23 (1.4289426106135544e-23+3.1502766838489004e-23j) (0.8348378208002873+1.8405008725529741j)
32.25 -2.2375165930449552e-23 -1.4344121137074347e-23 (-2.2375165930449552e-23-1.4344121137074347e-23j) (-1.3345990038978668-0.8555757682796827j)
32.5 3.0432305691274593e-24 -4.523626694514501e-24 (3.0432305691274593e-24-4.523626694514501e-24j) (0.18526101941075776-0.2753822537671719j)
32.75 1.2546677288338686e-23 -1.4624468857405403e-23 (1.2546677288338686e-23-1.4624468857405403e-23j) (0.7793095008549714-0.9083669933972424j)
33.0 3.891957057645657e-24 -1.4171862046865647e-23 (3.891957057645657e-24-1.4171862046865647e-23j) (0.24656988746886888-0.8978399243268679j)
33.25 -2.4329884514935992e-23 -3.262529237753564e-23 (-2.4329884514935992e-23-3.262529237753564e-23j) (-1.5717195923405318-2.1076060268239987j)
33.5 -1.4137650796914465e-23 -6.725425906744585e-24 (-1.4137650796914465e-23-6.725425906744585e-24j) (-0.9309976744383326-0.44288517015521844j)
33.75 5.136251297029325e-25 -1.4933357079607614e-23 (5.136251297029325e-25-1.4933357079607614e-23j) (0.034468652618932276-1.0021563740644386j)
34.0 1.243632377792736e-23 7.815448376924248e-24 (1.243632377792736e-23+7.815448376924248e-24j) (0.8502527502008502+0.5343304496724905j)
34.25 1.5339293123855075e-23 -2.0893214560440664e-23 (1.5339293123855075e-23-2.0893214560440664e-23j) (1.068113231536734-1.4548466308813899j)
34.5 6.7799239551619e-24 2.533777225629752e-23 (6.7799239551619e-24+2.533777225629752e-23j) (0.4806975515398311+1.7964515775730754j)
34.75 1.2022093306437433e-23 -1.3992796462167618e-23 (1.2022093306437433e-23-1.3992796462167618e-23j) (0.8676466463507172-1.009874288445833j)
35.0 -1.1859073299491887e-23 4.474668660963003e-24 (-1.1859073299491887e-23+4.474668660963003e-24j) (-0.8709859416392108+0.3286406449110416j)
35.25 1.3890413935894167e-23 3.1664705872938254e-24 (1.3890413935894167e-23+3.1664705872938254e-24j) (1.0379023600533+0.23660110568044487j)
35.5 -1.9240838198858177e-23 -2.119895773141801e-23 (-1.9240838198858177e-23-2.119895773141801e-23j) (-1.462275490069269-1.6110897033324967j)
35.75 -4.521109248891659e-26 3.7694759112787706e-24 (-4.521109248891659e-26+3.7694759112787706e-24j) (-0.003493818370145055+0.2912971896857747j)
36.0 -7.607754056158954e-24 3.589073336824931e-24 (-7.607754056158954e-24+3.589073336824931e-24j) (-0.5976548416904712+0.28195273415799527j)
36.25 3.0904984941830377e-24 1.2206586900339046e-23 (3.0904984941830377e-24+1.2206586900339046e-23j) (0.24674660854639144+0.9745786724227679j)
36.5 9.452533180379281e-24 -1.4498517082155027e-23 (9.452533180379281e-24-1.4498517082155027e-23j) (0.7668158800495778-1.1761601809389732j)
36.75 -1.247058245954788e-23 8.28118662426238e-24 (-1.247058245954788e-23+8.28118662426238e-24j) (-1.0276446024906405+0.6824153373947103j)
37.0 -1.655089739704059e-23 -1.4266521361766765e-25 (-1.655089739704059e-23-1.4266521361766765e-25j) (-1.385114459128776-0.011939391892542369j)
37.25 -4.962670959585313e-24 4.914416919681531e-24 (-4.962670959585313e-24+4.914416919681531e-24j) (-0.421678422861727+0.4175782744519212j)
37.5 1.3572135844059442e-23 -5.9836937663690116e-24 (1.3572135844059442e-23-5.9836937663690116e-24j) (1.1706108460565248-0.5160998167770552j)
37.75 -2.0327068023152333e-24 -8.974566881610733e-24 (-2.0327068023152333e-24-8.974566881610733e-24j) (-0.17792467245436044-0.7855519895990924j)
38.0 2.2639896750574575e-24 -1.226784764736949e-23 (2.2639896750574575e-24-1.226784764736949e-23j) (0.2010635064958136-1.0894998737456374j)
38.25 -2.3135170024616977e-24 -3.953761603799106e-24 (-2.3135170024616977e-24-3.953761603799106e-24j) (-0.20841584434288085-0.35617916881935513j)
38.5 2.129950154701461e-23 -1.3790394826553933e-23 (2.129950154701461e-23-1.3790394826553933e-23j) (1.9459431843301174-1.2599038884886602j)
38.75 2.8655722185442048e-24 8.025079176924857e-24 (2.8655722185442048e-24+8.025079176924857e-24j) (0.26544817300114015+0.7433917009379798j)
39.0 1.4023687375961746e-24 4.1325869739380734e-24 (1.4023687375961746e-24+4.1325869739380734e-24j) (0.13168626728394253+0.3880612411233438j)
39.25 3.251858208288042e-24 1.663504756463007e-24 (3.251858208288042e-24+1.663504756463007e-24j) (0.30947461501307955+0.15831332767422276j)
39.5 -7.557762218495554e-24 1.541064216724657e-23 (-7.557762218495554e-24+1.541064216724657e-23j) (-0.7288046508310838+1.4860678808202334j)
39.75 -1.531449088790797e-23 4.651434260716564e-24 (-1.531449088790797e-23+4.651434260716564e-24j) (-1.496083451119645+0.45440190420718674j)
40.0 1.8059898649886973e-23 2.4460876229409344e-23 (1.8059898649886973e-23+2.4460876229409344e-23j) (1.7869481642192937+2.420296964048131j)
40.25 -6.763294721994732e-24 -1.2712287059818349e-23 (-6.763294721994732e-24-1.2712287059818349e-23j) (-0.6776535114586366-1.2737173698406221j)
40.5 1.2335268852551702e-23 1.0469740862931751e-23 (1.2335268852551702e-23+1.0469740862931751e-23j) (1.2513128363866275+1.062070173907723j)
40.75 -1.2677358047286717e-23 -1.696712308180775e-23 (-1.2677358047286717e-23-1.696712308180775e-23j) (-1.301752349996614-1.7422393736960216j)
41.0 -1.7233502363411736e-24 1.2950567435982095e-23 (-1.7233502363411736e-24+1.2950567435982095e-23j) (-0.179087733115393+1.3458017504277688j)
41.25 8.085383805966184e-24 -7.095292695252758e-24 (8.085383805966184e-24-7.095292695252758e-24j) (0.850168625025125-0.7460617058676559j)
41.5 6.353514804944638e-24 -3.293970552328858e-24 (6.353514804944638e-24-3.293970552328858e-24j) (0.6758448457451548-0.3503907818228776j)
41.75 9.704409441264119e-26 -1.0894029637091528e-24 (9.704409441264119e-26-1.0894029637091528e-24j) (0.010441105428669472-0.11721033894166126j)
42.0 3.941920398596447e-24 2.392172702657202e-23 (3.941920398596447e-24+2.392172702657202e-23j) (0.4288972774100186+2.6027830486621553j)
42.25 2.4188666930573736e-24 9.760801917734324e-24 (2.4188666930573736e-24+9.760801917734324e-24j) (0.266097024108086+1.0737757275638322j)
42.5 -1.5354458160130678e-23 1.1024957852977501e-23 (-1.5354458160130678e-23+1.1024957852977501e-23j) (-1.7075383734849396+1.2260633624243107j)
