Hz Re(h) Im(h) h white
25.75 1.2587758677802372e-23 2.5282929369665494e-23 (1.2587758677802372e-23+2.5282929369665494e-23j) (0.9923326680362343+1.9931329634889372j)
26.0 1.6493106816702217e-24 -2.5415170192553693e-23 (1.6493106816702217e-24-2.5415170192553693e-23j) (0.1344616838505587-2.071996875675724j)
26.25 -1.6939571036404926e-23 1.4005204181788276e-23 (-1.6939571036404926e-23+1.4005204181788276e-23j) (-1.3770550969485147+1.1385139423476949j)
26.5 1.8613171327440513e-23 -1.043637144438736e-23 (1.8613171327440513e-23-1.043637144438736e-23j) (1.5233898051587118-0.8541619040378445j)
26.75 -2.601429396854695e-23 8.752278956839158e-24 (-2.601429396854695e-23+8.752278956839158e-24j) (-2.2339348957654344+0.7515876234348783j)
27.0 -1.0032727481000978e-23 1.4602620931543598e-23 (-1.0032727481000978e-23+1.4602620931543598e-23j) (-0.8681002570575864+1.2635187199485993j)
27.25 1.4253199309514885e-23 2.9930072950661112e-24 (1.4253199309514885e-23+2.9930072950661112e-24j) (1.2245968691200946+0.2571512039647687j)
27.5 -5.655531921951228e-24 -1.0099185761742069e-23 (-5.655531921951228e-24-1.0099185761742069e-23j) (-0.4971660093969194-0.887798345516401j)
27.75 1.0924295817502118e-23 -2.2171686209487592e-23 (1.0924295817502118e-23-2.2171686209487592e-23j) (0.9002960610612668-1.8272190807491577j)
28.0 1.0803210783144288e-23 2.157871195942095e-24 (1.0803210783144288e-23+2.157871195942095e-24j) (0.965608241074239+0.19287397532124795j)
28.25 -1.1267015616635485e-25 1.0065040385677609e-23 (-1.1267015616635485e-25+1.0065040385677609e-23j) (-0.010273793101572126+0.917777573049093j)
28.5 -6.672008314259302e-24 1.0048753591873657e-25 (-6.672008314259302e-24+1.0048753591873657e-25j) (-0.6290099974873699+0.009473559045283282j)
28.75 2.8247744226173377e-24 1.4602745044117615e-23 (2.8247744226173377e-24+1.4602745044117615e-23j) (0.26866850268946574+1.3888888311739613j)
29.0 -1.926797312348473e-23 -7.213532897224692e-24 (-1.926797312348473e-23-7.213532897224692e-24j) (-1.8758256416639918-0.7022705444356359j)
29.25 -6.721961571721577e-24 1.5077083694011704e-23 (-6.721961571721577e-24+1.5077083694011704e-23j) (-0.656051674105189+1.4714969570329053j)
29.5 -1.6286527709094862e-23 -1.8606532317757203e-23 (-1.6286527709094862e-23-1.8606532317757203e-23j) (-1.5789823869641721-1.8039073359886277j)
29.75 4.704553537201435e-24 2.2304327819175507e-23 (4.704553537201435e-24+2.2304327819175507e-23j) (0.4390774313497713+2.0816697885114333j)
30.0 1.2306662149057346e-23 -6.753369564910922e-24 (1.2306662149057346e-23-6.753369564910922e-24j) (1.218683449891399-0.6687613278136207j)
30.25 -2.2996396546208586e-23 9.114545196410508e-25 (-2.2996396546208586e-23+9.114545196410508e-25j) (-2.3246753105604663+0.09213773185075959j)
30.5 1.0388291447437841e-23 8.748255410926516e-24 (1.0388291447437841e-23+8.748255410926516e-24j) (1.0959593691796419+0.9229364164543269j)
30.75 -1.3555204908708412e-23 9.302447801152917e-24 (-1.3555204908708412e-23+9.302447801152917e-24j) (-1.4320964467154749+0.9827960943053455j)
31.0 4.3060138539614935e-24 1.757425581678369e-24 (4.3060138539614935e-24+1.757425581678369e-24j) (0.45800405146385165+0.18692648557421643j)
31.25 -4.112047708479322e-24 -6.37222508947539e-24 (-4.112047708479322e-24-6.37222508947539e-24j) (-0.4434767753383736-0.6872327450344405j)
31.5 1.2969696995430059e-23 9.693930871407369e-24 (1.2969696995430059e-23+9.693930871407369e-24j) (1.4081941960109898+1.0525255288891942j)
31.75 -1.4342401078324153e-23 -1.2069460604973882e-23 (-1.4342401078324153e-23-1.2069460604973882e-23j) (-1.5495544848035048-1.3039857627368612j)
32.0 8.09947242142474e-25 8.704003719327956e-24 (8.09947242142474e-25+8.704003719327956e-24j) (0.09173386854966901+0.9858073359600488j)
32.25 -1.242407096676795e-24 -1.6972615274466076e-23 (-1.242407096676795e-24-1.6972615274466076e-23j) (-0.14241730760082874-1.9455733767133967j)
32.5 -9.249324642197927e-24 -6.890820280242965e-24 (-9.249324642197927e-24-6.890820280242965e-24j) (-1.0852569745854093-0.8085250609141968j)
32.75 -1.1867891084085943e-23 -3.821791550331511e-24 (-1.1867891084085943e-23-3.821791550331511e-24j) (-1.3661838432513917-0.4399492573148886j)
33.0 -3.3082148542348054e-24 1.35322476356721e-23 (-3.3082148542348054e-24+1.35322476356721e-23j) (-0.3951233724198237+1.6162515307560619j)
33.25 1.261905214654783e-24 -1.091427860763688e-24 (1.261905214654783e-24-1.091427860763688e-24j) (0.1537213681856743-0.13295434719196073j)
33.5 -3.552207772063746e-25 2.9729487728248358e-24 (-3.552207772063746e-25+2.9729487728248358e-24j) (-0.044027201083405+0.3684767948012706j)
33.75 7.949395143780552e-24 -7.672360356210643e-24 (7.949395143780552e-24-7.672360356210643e-24j) (1.0041924100084985-0.9691965108294679j)
34.0 -9.85612637111517e-25 3.114592377630982e-24 (-9.85612637111517e-25+3.114592377630982e-24j) (-0.12427160705882213+0.39270539512935104j)
34.25 4.088524785189778e-24 1.6114514816684656e-24 (4.088524785189778e-24+1.6114514816684656e-24j) (0.5150784608909691+0.2030130652466468j)
34.5 -8.064684601030332e-24 -3.1245836384355584e-23 (-8.064684601030332e-24-3.1245836384355584e-23j) (-1.029832736967468-3.989986812184521j)
34.75 -7.531929988377041e-24 4.5149355696771675e-24 (-7.531929988377041e-24+4.5149355696771675e-24j) (-0.9682416303094268+0.5804021789199092j)
35.0 -3.976693186749774e-24 -1.7124710922383175e-23 (-3.976693186749774e-24-1.7124710922383175e-23j) (-0.5060028088463683-2.1789842516088496j)
35.25 9.353516629814681e-24 1.514874415836523e-23 (9.353516629814681e-24+1.514874415836523e-23j) (1.228840719561834+1.9902026594667508j)
35.5 5.55166136554344e-25 -1.034628285689334e-24 (5.55166136554344e-25-1.034628285689334e-24j) (0.07248469841471393-0.1350851831939551j)
35.75 1.731541792385445e-24 -6.70002849666355e-25 (1.731541792385445e-24-6.70002849666355e-25j) (0.22733316712530063-0.08796430468351281j)
36.0 -8.845710432751069e-25 -1.099781510599686e-23 (-8.845710432751069e-25-1.099781510599686e-23j) (-0.11765587028071464-1.4628078969119296j)
36.25 -1.390868674094242e-23 9.08965061691143e-24 (-1.390868674094242e-23+9.08965061691143e-24j) (-1.8535651028122757+1.2113479506780165j)
36.5 1.1763649100663755e-23 -7.52856899289753e-25 (1.1763649100663755e-23-7.52856899289753e-25j) (1.5782252833148978-0.1010041852668067j)
36.75 -2.2556985358778787e-25 1.0436749322197675e-23 (-2.2556985358778787e-25+1.0436749322197675e-23j) (-0.030723603556756702+1.4215310401469823j)
37.0 9.262183060446592e-24 -4.9512370010482865e-24 (9.262183060446592e-24-4.9512370010482865e-24j) (1.2513923957527753-0.6689503211333477j)
37.25 -1.6390778558101455e-23 -4.3847139885043925e-24 (-1.6390778558101455e-23-4.3847139885043925e-24j) (-2.237029403527702-0.5984300308599678j)
37.5 4.0019427145017736e-24 -4.799725188392549e-25 (4.0019427145017736e-24-4.799725188392549e-25j) (0.5505255517185549-0.06602721592845733j)
