Hz Re(h) Im(h) h white
25.75 1.638651531584004e-23 3.524966544113462e-24 (1.638651531584004e-23+3.524966544113462e-24j) (1.29180061990377+0.27788421632414567j)
26.0 -8.369162043626298e-24 3.77953098778916e-24 (-8.369162043626298e-24+3.77953098778916e-24j) (-0.6823042094559018+0.3081300002670513j)
26.25 2.5978667878653437e-23 2.060834718085675e-23 (2.5978667878653437e-23+2.060834718085675e-23j) (2.1118632188117488+1.6752980027708047j)
26.5 -4.056079604044645e-24 -1.2995362897743849e-23 (-4.056079604044645e-24-1.2995362897743849e-23j) (-0.33196870157233255-1.0636018443334787j)
26.75 9.909767056068181e-24 1.8800228363163172e-23 (9.909767056068181e-24+1.8800228363163172e-23j) (0.8509850185526266+1.6144388250401227j)
27.0 1.333322934938645e-23 -6.225896463002288e-24 (1.333322934938645e-23-6.225896463002288e-24j) (1.153682271100154-0.5387071790977194j)
27.25 -9.805969556390511e-24 1.0389896460208751e-23 (-9.805969556390511e-24+1.0389896460208751e-23j) (-0.8425027502019469+0.8926721923519245j)
27.5 2.3885793011475166e-24 -5.380754038077626e-25 (2.3885793011475166e-24-5.380754038077626e-25j) (0.2099750219197568-0.04730108590271136j)
27.75 -1.3934864493428347e-23 7.076522395446487e-24 (-1.3934864493428347e-23+7.076522395446487e-24j) (-1.1484038719234009+0.5831923031986385j)
28.0 8.641898205787777e-24 2.671771204472571e-23 (8.641898205787777e-24+2.671771204472571e-23j) (0.7724266695835611+2.388071791886932j)
28.25 -1.1095765510691511e-23 -2.153857918902158e-24 (-1.1095765510691511e-23-2.153857918902158e-24j) (-1.011763922578509-0.19639886356695538j)
28.5 -9.407749373129129e-24 1.5374207647841266e-23 (-9.407749373129129e-24+1.5374207647841266e-23j) (-0.8869246156223806+1.4494182049011008j)
28.75 1.863188976025125e-24 -8.356854900812797e-24 (1.863188976025125e-24-8.356854900812797e-24j) (0.17721067863265663-0.7948329167162848j)
29.0 -9.57988398850563e-24 -1.0638558376956887e-23 (-9.57988398850563e-24-1.0638558376956887e-23j) (-0.9326456869457763-1.0357124989712363j)
29.25 2.259989999814123e-23 -1.0325011409091048e-23 (2.259989999814123e-23-1.0325011409091048e-23j) (2.205710650112079-1.0077030265370173j)
29.5 -3.1374821910972935e-23 -1.3591292846556018e-23 (-3.1374821910972935e-23-1.3591292846556018e-23j) (-3.041795776020394-1.317678783599772j)
29.75 3.22198952931477e-23 -1.6786496869885724e-23 (3.22198952931477e-23-1.6786496869885724e-23j) (3.0070927563701235-1.5666889256775j)
30.0 6.766109563313774e-24 -1.4391293353555622e-23 (6.766109563313774e-24-1.4391293353555622e-23j) (0.6700229229575476-1.4251168042224769j)
30.25 -8.23239890539831e-25 -1.129947259302667e-23 (-8.23239890539831e-25-1.129947259302667e-23j) (-0.08322023167242559-1.1422487391266738j)
30.5 -6.4384350422253405e-24 -8.053033115411322e-24 (-6.4384350422253405e-24-8.053033115411322e-24j) (-0.6792515634629923-0.8495908242279576j)
30.75 -4.856638642368652e-24 1.603819491810393e-23 (-4.856638642368652e-24+1.603819491810393e-23j) (-0.5130999486587569+1.6944223350833374j)
31.0 2.8792745962881324e-24 4.79261177566787e-24 (2.8792745962881324e-24+4.79261177566787e-24j) (0.3062506241506169+0.5097604617156156j)
31.25 -4.836597595720413e-24 1.0553322107193772e-24 (-4.836597595720413e-24+1.0553322107193772e-24j) (-0.521618146826568+0.11381563612588126j)
31.5 1.0873381266868013e-23 5.361479372679038e-24 (1.0873381266868013e-23+5.361479372679038e-24j) (1.1805852053762986+0.5821264858615856j)
31.75 -1.1394532181150483e-23 6.97293346782177e-24 (-1.1394532181150483e-23+6.97293346782177e-24j) (-1.2310664265430424+0.7533564476612858j)
32.0 1.8701036174668888e-23 -4.1459902462190176e-24 (1.8701036174668888e-23-4.1459902462190176e-24j) (2.118061899503217-0.46957098495554056j)
32.25 -1.3390297978824993e-23 -2.4891896921727556e-25 (-1.3390297978824993e-23-2.4891896921727556e-25j) (-1.534931820027403-0.02853361792726476j)
32.5 1.422819914184508e-23 7.305764016746282e-25 (1.422819914184508e-23+7.305764016746282e-25j) (1.6694464679107839+0.0857211922011738j)
32.75 3.085355689867756e-24 4.915236134907458e-25 (3.085355689867756e-24+4.915236134907458e-25j) (0.35517372583856416+0.05658221958474589j)
33.0 1.3065707569602332e-24 1.6341150439314343e-23 (1.3065707569602332e-24+1.6341150439314343e-23j) (0.15605293686847313+1.9517385524511304j)
33.25 4.537053340222392e-24 -5.78066220986304e-24 (4.537053340222392e-24-5.78066220986304e-24j) (0.5526897257344068-0.7041822900798977j)
33.5 1.7461339064052492e-24 8.262442393880381e-24 (1.7461339064052492e-24+8.262442393880381e-24j) (0.2164214301327073+1.0240735791872864j)
33.75 1.3052166545915864e-23 -8.31605655455093e-24 (1.3052166545915864e-23-8.31605655455093e-24j) (1.6487904227317367-1.0505102240156048j)
34.0 6.246676037191699e-24 1.8540661103103204e-23 (6.246676037191699e-24+1.8540661103103204e-23j) (0.7876161898579781+2.3377112513168137j)
34.25 1.3973753884326044e-23 -4.624457768631446e-25 (1.3973753884326044e-23-4.624457768631446e-25j) (1.7604343918080878-0.05825960988546157j)
