Hz Re(h+) Im(h+) Re(hx) Im(hx) h+ hx
22.5 -2.1412316970113934e-23 -9.182313188677143e-24 8.772122777406337e-24 -2.0455790338560732e-23 (-2.1412316970113934e-23-9.182313188677143e-24j) (8.772122777406337e-24-2.0455790338560732e-23j)
22.75 -7.88095485068832e-24 -2.158007696452206e-23 2.061605619290991e-23 -7.52889845215502e-24 (-7.88095485068832e-24-2.158007696452206e-23j) (2.061605619290991e-23-7.52889845215502e-24j)
23.0 9.649945065988867e-24 -2.0500034583249576e-23 1.9584261243353255e-23 9.218864699416344e-24 (9.649945065988867e-24-2.0500034583249576e-23j) (1.9584261243353255e-23+9.218864699416344e-24j)
23.25 2.0875562475162796e-23 -7.97984938013112e-24 7.623375185463986e-24 1.9943013630307933e-23 (2.0875562475162796e-23-7.97984938013112e-24j) (7.623375185463986e-24+1.9943013630307933e-23j)
23.5 2.0496932461687534e-23 8.120530246569681e-24 -7.757771585093734e-24 1.9581297699129322e-23 (2.0496932461687534e-23+8.120530246569681e-24j) (-7.757771585093734e-24+1.9581297699129322e-23j)
23.75 9.922917416013e-24 1.9356800787219308e-23 -1.849209775295693e-23 9.479642884612812e-24 (9.922917416013e-24+1.9356800787219308e-23j) (-1.849209775295693e-23+9.479642884612812e-24j)
24.0 -4.780978665969081e-24 2.0924523829014132e-23 -1.998978779260307e-23 -4.5674037676864695e-24 (-4.780978665969081e-24+2.0924523829014132e-23j) (-1.998978779260307e-23-4.5674037676864695e-24j)
24.25 -1.662222695226652e-23 1.3129293325281798e-23 -1.2542784226960762e-23 -1.5879682239438102e-23 (-1.662222695226652e-23+1.3129293325281798e-23j) (-1.2542784226960762e-23-1.5879682239438102e-23j)
24.5 -2.0905252132231255e-23 2.253526093686141e-25 -2.1528570382766095e-25 -1.9971376997105832e-23 (-2.0905252132231255e-23+2.253526093686141e-25j) (-2.1528570382766095e-25-1.9971376997105832e-23j)
24.75 -1.6701267415293684e-23 -1.2122429159658208e-23 1.158089849081399e-23 -1.5955191823113846e-23 (-1.6701267415293684e-23-1.2122429159658208e-23j) (1.158089849081399e-23-1.5955191823113846e-23j)
25.0 -6.4605746536038024e-24 -1.9321904355913283e-23 1.8458760207872187e-23 -6.171969187883538e-24 (-6.4605746536038024e-24-1.9321904355913283e-23j) (1.8458760207872187e-23-6.171969187883538e-24j)
25.25 5.557156162608486e-24 -1.933261224204959e-23 1.8468989753515435e-23 5.308908022407023e-24 (5.557156162608486e-24-1.933261224204959e-23j) (1.8468989753515435e-23+5.308908022407023e-24j)
25.5 1.512381247051365e-23 -1.2876752451672009e-23 1.23015248074552e-23 1.444820462205643e-23 (1.512381247051365e-23-1.2876752451672009e-23j) (1.23015248074552e-23+1.444820462205643e-23j)
25.75 1.943451574202023e-23 -2.6618399748909643e-24 2.542930805534381e-24 1.856634104123803e-23 (1.943451574202023e-23-2.6618399748909643e-24j) (2.542930805534381e-24+1.856634104123803e-23j)
26.0 1.771133874274409e-23 7.852527784088489e-24 -7.501741273643322e-24 1.6920141451412163e-23 (1.771133874274409e-23+7.852527784088489e-24j) (-7.501741273643322e-24+1.6920141451412163e-23j)
26.25 1.104483755258301e-23 1.5628253936479767e-23 -1.4930111782326913e-23 1.0551444834972389e-23 (1.104483755258301e-23+1.5628253936479767e-23j) (-1.4930111782326913e-23+1.0551444834972389e-23j)
26.5 1.729301917909146e-24 1.8825877644806728e-23 -1.798489190025823e-23 1.652050897350051e-24 (1.729301917909146e-24+1.8825877644806728e-23j) (-1.798489190025823e-23+1.652050897350051e-24j)
26.75 -7.580609641224732e-24 1.7070328779456196e-23 -1.630776655371907e-23 -7.241970202281202e-24 (-7.580609641224732e-24+1.7070328779456196e-23j) (-1.630776655371907e-23-7.241970202281202e-24j)
27.0 -1.461386144236623e-23 1.1270630743124015e-23 -1.0767151438420681e-23 -1.3961034021636272e-23 (-1.461386144236623e-23+1.1270630743124015e-23j) (-1.0767151438420681e-23-1.3961034021636272e-23j)
27.25 -1.796108357438114e-23 3.1596763474763915e-24 -3.0185279338008284e-24 -1.7158729733158467e-23 (-1.796108357438114e-23+3.1596763474763915e-24j) (-3.0185279338008284e-24-1.7158729733158467e-23j)
27.5 -1.723902190568488e-23 -5.257708833722866e-24 5.022837543174168e-24 -1.6468923855215526e-23 (-1.723902190568488e-23-5.257708833722866e-24j) (5.022837543174168e-24-1.6468923855215526e-23j)
27.75 -1.2985290756151203e-23 -1.2194025675964129e-23 1.1649296662229509e-23 -1.2405214511060285e-23 (-1.2985290756151203e-23-1.2194025675964129e-23j) (1.1649296662229509e-23-1.2405214511060285e-23j)
28.0 -6.377717339830836e-24 -1.6411987283140857e-23 1.567883435368685e-23 -6.0928132590355855e-24 (-6.377717339830836e-24-1.6411987283140857e-23j) (1.567883435368685e-23-6.0928132590355855e-24j)
28.25 1.1158543287524072e-24 -1.7370173997357388e-23 1.6594217147551008e-23 1.0660071130645703e-24 (1.1158543287524072e-24-1.7370173997357388e-23j) (1.6594217147551008e-23+1.0660071130645703e-24j)
28.5 8.067536759509814e-24 -1.5199892128213093e-23 1.4520885664892726e-23 7.707145412217681e-24 (8.067536759509814e-24-1.5199892128213093e-23j) (1.4520885664892726e-23+7.707145412217681e-24j)
28.75 1.3339678453200084e-23 -1.0561003163963704e-23 1.0089224196916442e-23 1.2743771073599284e-23 (1.3339678453200084e-23-1.0561003163963704e-23j) (1.0089224196916442e-23+1.2743771073599284e-23j)
29.0 1.6228843600900667e-23 -4.43449284711397e-24 4.2363960922594146e-24 1.550387202845291e-23 (1.6228843600900667e-23-4.43449284711397e-24j) (4.2363960922594146e-24+1.550387202845291e-23j)
29.25 1.650453833956468e-23 2.0951105181355097e-24 -2.0015181708224676e-24 1.5767250988302362e-23 (1.650453833956468e-23+2.0951105181355097e-24j) (-2.0015181708224676e-24+1.5767250988302362e-23j)
29.5 1.436241791971121e-23 8.027652407470269e-24 -7.66904276577129e-24 1.372082293244872e-23 (1.436241791971121e-23+8.027652407470269e-24j) (-7.66904276577129e-24+1.372082293244872e-23j)
29.75 1.0320913241400144e-23 1.2582169542925219e-23 -1.202010144598253e-23 9.859859522125932e-24 (1.0320913241400144e-23+1.2582169542925219e-23j) (-1.202010144598253e-23+9.859859522125932e-24j)
30.0 5.091472191437535e-24 1.5270549127905444e-23 -1.458838628958812e-23 4.864026990074227e-24 (5.091472191437535e-24+1.5270549127905444e-23j) (-1.458838628958812e-23+4.864026990074227e-24j)
30.25 -5.516040921988536e-25 1.591393568657441e-23 -1.5203031615880916e-23 -5.26962947338241e-25 (-5.516040921988536e-25+1.591393568657441e-23j) (-1.5203031615880916e-23-5.26962947338241e-25j)
30.5 -5.882869444672229e-24 1.461344367955071e-23 -1.3960634921035554e-23 -5.62007110754535e-24 (-5.882869444672229e-24+1.461344367955071e-23j) (-1.3960634921035554e-23-5.62007110754535e-24j)
30.75 -1.0308001466620542e-23 1.1690253306095093e-23 -1.1168028708332504e-23 -9.847524539500798e-24 (-1.0308001466620542e-23+1.1690253306095093e-23j) (-1.1168028708332504e-23-9.847524539500798e-24j)
